,stock,prediction,content
228,bar,positive,5
229,bb,neutral,3
230,bb,positive,6
231,bbby,positive,6
232,bbc,positive,1
233,bbgi,positive,1
234,bbi,neutral,1
235,bbw,neutral,1
236,bbw,positive,2
237,bby,negative,1
238,bby,neutral,10
239,bcli,neutral,3
240,bcrx,neutral,1
241,bctg,positive,2
242,bdn,neutral,1
243,beam,neutral,3
244,beem,neutral,1
245,beke,neutral,4
246,beke,positive,1
247,ben,negative,2
248,ben,neutral,4
249,ben,positive,7
250,bep,positive,3
251,bepc,positive,1
252,bft,neutral,2
253,bgi,negative,1
254,bgi,neutral,1
255,bidu,neutral,3
256,bigc,negative,1
257,bigc,neutral,6
258,bigc,positive,6
259,biib,neutral,8
260,biib,positive,3
261,bil,negative,1
262,bil,neutral,1
263,bil,positive,2
264,bili,neutral,1
265,bili,positive,2
266,bill,negative,5
267,bill,neutral,18
268,bill,positive,22
269,bimi,negative,1
270,bimi,neutral,3
271,bio,negative,1
272,bio,neutral,14
273,bio,positive,2
274,bj,neutral,3
275,bkng,neutral,13
276,bkng,positive,9
277,bkr,neutral,1
278,bkyi,negative,1
279,bkyi,neutral,4
280,bkyi,positive,3
281,blcm,neutral,1
282,blcn,neutral,1
283,blnk,negative,3
284,blnk,neutral,16
285,blnk,positive,12
286,blok,neutral,1
287,blu,positive,1
288,blue,negative,8
289,blue,neutral,19
290,blue,positive,20
291,bmy,negative,3
292,bmy,neutral,7
293,bmy,positive,7
294,bngo,negative,3
295,bngo,neutral,8
296,bngo,positive,4
297,bnso,neutral,1
298,bntx,neutral,1
299,bntx,positive,1
300,boe,positive,1
301,bond,neutral,1
302,bond,positive,4
303,boot,neutral,2
304,boot,positive,1
305,borr,negative,1
306,borr,neutral,1
307,botz,neutral,2
308,box,negative,4
309,box,neutral,13
310,box,positive,3
311,boxl,neutral,2
312,boxl,positive,1
313,bp,neutral,5
314,bp,positive,9
315,brqs,negative,1
316,brqs,neutral,2
317,brqs,positive,3
318,bse,neutral,1
319,bse,positive,1
320,bsy,positive,1
321,bte,neutral,2
322,bte,positive,1
323,bto,neutral,9
324,bto,positive,4
325,btu,neutral,5
326,bug,neutral,5
327,bug,positive,1
328,bw,negative,3
329,bxrx,neutral,2
330,byd,positive,1
331,byfc,negative,1
332,byfc,neutral,1
333,byfc,positive,3
334,bynd,negative,23
335,bynd,neutral,73
336,bynd,positive,85
337,bysi,neutral,1
338,caas,neutral,5
339,caas,positive,1
340,cag,positive,1
341,cah,positive,6
342,cake,negative,1
343,cake,neutral,4
344,cake,positive,1
345,cal,neutral,3
346,cal,positive,6
347,calm,negative,4
348,calm,positive,9
349,cang,neutral,1
350,car,neutral,2
351,car,positive,3
352,care,negative,2
353,care,neutral,1
354,care,positive,4
355,cars,negative,8
356,cars,neutral,5
357,cars,positive,10
358,carv,neutral,2
359,carv,positive,2
360,cat,negative,6
361,cat,neutral,1
362,cat,positive,4
363,catb,neutral,2
364,catb,positive,3
365,catm,neutral,1
366,cato,positive,1
367,cbat,negative,4
368,cbat,neutral,10
369,cbat,positive,9
370,cbd,negative,1
371,cbd,positive,1
372,cbli,neutral,2
373,cboe,neutral,1
374,cc,neutral,12
375,ccl,negative,2
376,ccl,neutral,10
377,ccl,positive,17
378,ccm,positive,1
379,cco,negative,1
380,cco,neutral,1
381,ccx,neutral,1
382,ccx,positive,1
383,cdc,negative,1
384,cdc,neutral,1
385,cdc,positive,1
386,cel,neutral,1
387,cel,positive,1
388,celh,neutral,3
389,celh,positive,1
390,cent,negative,1
391,cent,neutral,3
392,cent,positive,9
393,ceo,negative,4
394,ceo,neutral,10
395,ceo,positive,10
396,cetx,neutral,1
397,cfii,negative,1
398,cfii,positive,2
399,cfo,negative,1
400,cfo,neutral,2
401,cfo,positive,1
402,cgc,negative,1
403,cgc,neutral,22
404,cgc,positive,14
405,cgix,neutral,1
406,cgro,positive,1
407,cgrou,positive,1
408,cha,neutral,6
409,cha,positive,3
410,chef,positive,1
411,chfs,negative,1
412,chfs,positive,1
413,chgg,negative,2
414,chgg,neutral,3
415,chgg,positive,8
416,chu,neutral,3
417,chwy,negative,1
418,chwy,neutral,6
419,chwy,positive,2
420,cia,negative,1
421,cia,neutral,1
422,cidm,negative,1
423,cidm,neutral,7
424,cidm,positive,1
425,ciic,negative,2
426,ciic,neutral,5
427,ciic,positive,4
428,cim,negative,1
429,cjjd,neutral,1
430,cl,neutral,2
431,clbs,neutral,1
432,cldr,neutral,1
433,cldr,positive,1
434,cleu,neutral,1
435,clf,neutral,1
436,clir,neutral,1
437,clne,neutral,1
438,clny,negative,1
439,clny,neutral,1
440,clsk,neutral,1
441,clsk,positive,4
442,clsn,negative,1
443,clsn,neutral,2
444,clvs,neutral,2
445,clx,neutral,1
446,cme,neutral,1
447,cme,positive,1
448,cmg,neutral,6
449,cmg,positive,1
450,cms,positive,1
451,cna,positive,1
452,cnk,negative,1
453,co,negative,1
454,co,neutral,2
455,co,positive,3
456,cocp,neutral,1
457,cocp,positive,2
458,codx,negative,1
459,codx,neutral,2
460,cog,neutral,3
461,cogt,positive,1
462,coke,negative,4
463,coke,neutral,6
464,cold,negative,3
465,cold,neutral,2
466,cold,positive,6
467,comb,positive,1
468,comm,positive,1
469,conn,neutral,1
470,coo,negative,4
471,coo,positive,1
472,cop,negative,2
473,cop,neutral,3
474,cop,positive,1
475,core,neutral,2
476,core,positive,3
477,corn,negative,1
478,corp,negative,1
479,corp,neutral,4
480,corp,positive,4
481,cort,neutral,1
482,cost,negative,7
483,cost,neutral,24
484,cost,positive,50
485,coty,neutral,3
486,coup,positive,6
487,cow,positive,3
488,cown,neutral,3
489,cpah,neutral,2
490,cper,positive,1
491,cphi,neutral,1
492,cprx,neutral,1
493,crbp,neutral,1
494,crbp,positive,3
495,creg,neutral,1
496,crex,neutral,1
497,crhc,neutral,1
498,cris,neutral,2
499,cris,positive,1
500,crk,neutral,2
501,crk,positive,1
502,crm,negative,9
503,crm,neutral,25
504,crm,positive,18
505,crnc,positive,1
506,crnt,positive,1
507,crox,negative,3
508,crsp,neutral,1
509,crsr,neutral,21
510,crsr,positive,18
511,crwd,negative,1
512,crwd,neutral,7
513,crwd,positive,3
514,cs,neutral,2
515,csco,negative,4
516,csco,neutral,2
517,csiq,neutral,1
518,csiq,positive,1
519,cspr,positive,1
520,ctek,neutral,1
521,ctib,neutral,1
522,ctic,neutral,1
523,ctva,neutral,3
524,ctxr,neutral,1
525,cube,positive,3
526,cure,negative,3
527,cure,neutral,2
528,cure,positive,2
529,cveo,neutral,1
530,cvna,negative,2
531,cvna,neutral,4
532,cvna,positive,1
533,cvs,negative,1
534,cvs,neutral,9
535,cvs,positive,7
536,cvx,negative,1
537,cw,neutral,2
538,cwbr,neutral,1
539,cyrx,neutral,1
540,dada,neutral,1
541,dal,negative,2
542,dal,neutral,9
543,dal,positive,8
544,dao,neutral,1
545,dar,negative,1
546,dare,neutral,2
547,dbx,neutral,2
548,dbx,positive,1
549,dcf,neutral,2
550,dct,neutral,1
551,ddd,neutral,2
552,ddm,neutral,9
553,ddm,positive,6
554,ddog,neutral,8
555,ddog,positive,2
556,dds,neutral,1
557,dds,positive,2
558,de,positive,5
559,deck,neutral,1
560,deck,positive,1
561,deed,positive,1
562,deep,negative,4
563,deep,neutral,4
564,deep,positive,10
565,dell,neutral,1
566,dell,positive,3
567,dem,negative,1
568,dem,neutral,2
569,dem,positive,6
570,demz,neutral,1
571,demz,positive,1
572,denn,neutral,1
573,dg,neutral,2
574,dg,positive,1
575,dgly,negative,2
576,dgly,neutral,10
577,dgly,positive,2
578,dgnr,neutral,2
579,dgx,positive,1
580,dhr,neutral,2
581,dia,neutral,3
582,dial,positive,1
583,dig,negative,1
584,dig,positive,2
585,dis,negative,11
586,dis,neutral,23
587,dis,positive,37
588,dish,positive,3
589,div,negative,3
590,div,neutral,4
591,div,positive,5
592,dk,negative,1
593,dk,positive,1
594,dkng,negative,9
595,dkng,neutral,67
596,dkng,positive,56
597,dks,neutral,2
598,dlr,neutral,1
599,dly,neutral,1
600,dmac,positive,2
601,dms,negative,4
602,dms,neutral,5
603,dms,positive,4
604,dnk,neutral,4
605,dnkn,neutral,1
606,dnkn,positive,1
607,doc,negative,1
608,doc,positive,2
609,docu,negative,2
610,docu,neutral,14
611,docu,positive,8
612,dog,negative,2
613,dog,neutral,4
614,dog,positive,6
615,dogz,positive,1
616,domo,negative,1
617,domo,neutral,3
618,domo,positive,1
619,dow,negative,3
620,dow,neutral,10
621,dow,positive,7
622,doyu,negative,1
623,doyu,positive,2
624,dpw,negative,1
625,dpw,neutral,8
626,dpw,positive,7
627,dq,neutral,1
628,dri,neutral,3
629,drip,neutral,2
630,drip,positive,3
631,drrx,positive,1
632,ds,neutral,2
633,ds,positive,2
634,dss,negative,1
635,dss,positive,2
636,dt,negative,2
637,dt,neutral,3
638,dt,positive,2
639,dte,negative,1
640,dte,neutral,1
641,dte,positive,3
642,dual,negative,1
643,dual,positive,1
644,duo,positive,2
645,dust,neutral,2
646,dynt,positive,2
647,e,negative,1
648,e,neutral,3
649,e,positive,5
650,ea,neutral,1
651,ea,positive,1
652,eaf,neutral,1
653,ears,negative,2
654,ears,neutral,1
655,ears,positive,1
656,east,negative,1
657,east,neutral,1
658,east,positive,4
659,ebay,negative,1
660,ebay,neutral,2
661,ebay,positive,1
662,ebon,neutral,2
663,ecl,neutral,2
664,ecom,positive,1
665,econ,negative,3
666,econ,positive,2
667,ed,neutral,1
668,edit,neutral,1
669,edit,positive,1
670,edry,neutral,9
671,edry,positive,1
672,edsa,neutral,1
673,edtk,neutral,1
674,edu,neutral,2
675,eem,neutral,3
676,eem,positive,3
677,efr,positive,2
678,eft,positive,1
679,eh,negative,2
680,eh,neutral,6
681,eh,positive,12
682,ehth,positive,2
683,ello,neutral,2
684,eman,negative,1
685,eman,positive,2
686,emo,negative,1
687,eng,neutral,3
688,eng,positive,2
689,enph,negative,1
690,enph,neutral,5
691,enph,positive,7
692,ensv,positive,1
693,eod,negative,1
694,eod,positive,4
695,eps,neutral,3
696,eps,positive,6
697,eq,neutral,1
698,eq,positive,1
699,eric,positive,1
700,erx,neutral,1
701,es,negative,6
702,es,neutral,83
703,es,positive,21
704,esg,neutral,1
705,esgc,positive,1
706,esp,neutral,4
707,esp,positive,1
708,espr,neutral,1
709,essc,positive,2
710,esscw,positive,1
711,et,neutral,5
712,et,positive,6
713,etb,neutral,1
714,eth,neutral,6
715,eth,positive,2
716,eton,neutral,1
717,eton,positive,2
718,etsy,neutral,8
719,etsy,positive,8
720,ettx,neutral,3
721,ettx,positive,2
722,ev,neutral,3
723,ev,positive,2
724,eva,neutral,1
725,eva,positive,2
726,evfm,neutral,2
727,evgn,neutral,1
728,ew,neutral,8
729,ew,positive,2
730,ewj,neutral,1
731,ewt,neutral,1
732,eww,neutral,1
733,eww,positive,1
734,exas,negative,12
735,exas,neutral,25
736,exas,positive,54
737,exc,positive,1
738,exel,neutral,1
739,extn,positive,1
740,eye,negative,1
741,eye,neutral,3
742,eye,positive,8
743,fab,positive,1
744,fad,positive,1
745,fami,negative,1
746,fami,neutral,1
747,fan,negative,9
748,fan,neutral,1
749,fan,positive,9
750,fanh,positive,1
751,fate,negative,2
752,fate,positive,3
753,fax,neutral,5
754,fb,negative,24
755,fb,neutral,49
756,fb,positive,63
757,fbio,positive,1
758,fcel,neutral,6
759,fcel,positive,7
760,fcx,neutral,2
761,fcx,positive,1
762,fdx,negative,7
763,fdx,neutral,7
764,fdx,positive,7
765,fe,neutral,3
766,fe,positive,2
767,feac,negative,1
768,feac,neutral,6
769,feac,positive,2
770,feye,neutral,9
771,feye,positive,8
772,fico,neutral,1
773,fit,negative,1
774,fit,positive,11
775,five,negative,7
776,five,neutral,3
777,five,positive,7
778,fix,negative,3
779,fix,neutral,8
780,fizz,negative,1
781,fizz,neutral,1
782,fizz,positive,3
783,fl,negative,4
784,fl,neutral,4
785,fl,positive,1
786,fldm,neutral,5
787,flgt,neutral,1
788,flgt,positive,1
789,flir,neutral,1
790,flnt,negative,1
791,flow,negative,3
792,flow,neutral,19
793,flow,positive,16
794,flux,neutral,1
795,fly,negative,1
796,fly,neutral,7
797,fly,positive,9
798,fn,neutral,1
799,fnd,positive,3
800,fnko,negative,1
801,fnko,neutral,2
802,fnko,positive,2
803,fold,negative,1
804,ford,negative,1
805,ford,neutral,3
806,ford,positive,11
807,form,negative,5
808,form,neutral,7
809,form,positive,12
810,four,negative,2
811,four,neutral,1
812,four,positive,5
813,fox,negative,1
814,fox,neutral,2
815,fox,positive,1
816,fprx,neutral,1
817,fprx,positive,1
818,fr,negative,1
819,fr,neutral,4
820,fr,positive,2
821,fran,neutral,5
822,fran,positive,1
823,freq,positive,1
824,fri,negative,1
825,fro,positive,1
826,frog,neutral,5
827,frog,positive,4
828,frta,positive,1
829,fsd,positive,1
830,fsly,negative,8
831,fsly,neutral,39
832,fsly,positive,39
833,fsr,negative,1
834,fsr,neutral,17
835,fsr,positive,7
836,ftc,negative,1
837,ftek,neutral,1
838,ftsi,positive,1
839,fubo,neutral,7
840,fubo,positive,1
841,fund,negative,5
842,fund,neutral,12
843,fund,positive,22
844,fuse,neutral,3
845,fuse,positive,2
846,fut,negative,1
847,futu,neutral,1
848,fuv,negative,1
849,fuv,neutral,1
850,fuv,positive,1
851,fvrr,negative,2
852,fvrr,neutral,4
853,fvrr,positive,2
854,fxi,negative,1
855,g,negative,1
856,g,neutral,6
857,g,positive,9
858,gb,positive,1
859,gbdc,neutral,1
860,gci,positive,1
861,gdp,negative,2
862,gdp,neutral,1
863,gdp,positive,4
864,gdrx,neutral,1
865,gdrx,positive,2
866,gdx,positive,1
867,ge,neutral,15
868,ge,positive,8
869,gem,negative,1
870,gem,neutral,2
871,gem,positive,3
872,gen,neutral,3
873,gen,positive,2
874,geo,neutral,1
875,geo,positive,1
876,gern,neutral,1
877,ges,neutral,1
878,gevo,negative,2
879,gevo,neutral,11
880,gevo,positive,6
881,gf,negative,2
882,gf,positive,5
883,ggb,neutral,1
884,gik,negative,1
885,gik,neutral,1
886,gild,neutral,31
887,gild,positive,12
888,gim,neutral,10
889,gim,positive,2
890,gix,negative,1
891,gix,neutral,4
892,gix,positive,1
893,gl,positive,8
894,gld,neutral,5
895,gld,positive,6
896,gldi,neutral,1
897,glg,positive,1
898,glop,positive,1
899,glw,positive,3
900,gm,negative,5
901,gm,neutral,14
902,gm,positive,6
903,gmbl,neutral,6
904,gme,negative,3
905,gme,neutral,23
906,gme,positive,19
907,gmed,neutral,1
908,gnus,negative,8
909,gnus,neutral,36
910,gnus,positive,11
911,gogo,neutral,2
912,gogo,positive,4
913,golf,neutral,2
914,golf,positive,5
915,goog,neutral,5
916,goog,positive,2
917,googl,negative,3
918,googl,neutral,4
919,govt,negative,5
920,govt,neutral,4
921,govt,positive,3
922,govx,neutral,3
923,gp,neutral,2
924,gp,positive,1
925,gpro,neutral,2
926,gpro,positive,2
927,gps,neutral,3
928,gray,neutral,3
929,grfs,positive,1
930,grid,positive,2
931,gril,negative,2
932,gril,neutral,8
933,gril,positive,3
934,grmn,negative,3
935,grmn,positive,6
936,grnq,negative,3
937,grnq,neutral,5
938,grnq,positive,1
939,grpn,neutral,2
940,grpn,positive,2
941,grub,neutral,1
942,grub,positive,1
943,grwg,neutral,1
944,grwg,positive,3
945,gs,neutral,5
946,gs,positive,3
947,gsah,neutral,1
948,gsah,positive,1
949,gsky,neutral,1
950,gt,positive,1
951,guru,neutral,2
952,guru,positive,8
953,gush,neutral,8
954,gush,positive,11
955,h,negative,2
956,h,neutral,4
957,h,positive,2
958,hack,neutral,2
959,hail,positive,2
960,hal,negative,1
961,hall,neutral,1
962,hcac,neutral,3
963,hcac,positive,2
964,hcat,positive,1
965,hcch,positive,1
966,hd,negative,2
967,hd,neutral,18
968,hd,positive,13
969,hear,negative,9
970,hear,neutral,16
971,hear,positive,45
972,hepa,neutral,1
973,herd,positive,1
974,hero,negative,1
975,hero,positive,2
976,hes,negative,2
977,hes,neutral,3
978,hes,positive,5
979,hewj,neutral,1
980,hexo,neutral,12
981,hexo,positive,5
982,hgh,positive,1
983,hgsh,neutral,1
984,hgsh,positive,2
985,hii,positive,1
986,hil,neutral,1
987,hiw,neutral,1
988,hjli,neutral,1
989,hl,positive,4
990,hlx,neutral,1
991,hmhc,negative,1
992,hmhc,neutral,1
993,hofv,neutral,4
994,hol,neutral,1
995,holx,neutral,2
996,holx,positive,1
997,hook,neutral,3
998,hook,positive,3
999,hp,neutral,2
1000,hp,positive,1
1001,hpe,neutral,1
1002,hpq,neutral,5
1003,hpr,neutral,2
1004,hpr,positive,1
1005,hrb,positive,2
1006,hrl,positive,2
1007,htbx,neutral,3
1008,htbx,positive,1
1009,husa,negative,1
1010,husa,neutral,4
1011,husa,positive,1
1012,husn,negative,1
1013,husn,positive,2
1014,huya,neutral,2
1015,huya,positive,2
1016,hx,neutral,1
1017,hx,positive,1
1018,hyg,positive,3
1019,hylb,positive,1
1020,hyln,negative,6
1021,hyln,neutral,27
1022,hyln,positive,16
1023,hyre,positive,3
1024,iac,negative,3
1025,iag,neutral,1
1026,ibb,positive,4
1027,ibd,negative,1
1028,ibd,neutral,1
1029,ibio,negative,2
1030,ibio,neutral,10
1031,ibio,positive,2
1032,ibkr,neutral,2
1033,ibm,negative,2
1034,ibm,positive,1
1035,icd,neutral,1
1036,ice,negative,1
1037,ice,neutral,4
1038,ice,positive,1
1039,iclk,positive,1
1040,icln,neutral,4
1041,icln,positive,2
1042,icon,negative,1
1043,icon,neutral,3
1044,icon,positive,4
1045,ide,positive,1
1046,idex,negative,9
1047,idex,neutral,35
1048,idex,positive,16
1049,idt,positive,2
1050,idxg,neutral,1
1051,iea,negative,1
1052,iea,neutral,2
1053,iea,positive,4
1054,iep,positive,3
1055,ifrx,neutral,1
1056,ifs,negative,2
1057,ig,negative,1
1058,ig,neutral,8
1059,ig,positive,7
1060,igc,negative,3
1061,igc,neutral,5
1062,igc,positive,1
1063,iii,positive,1
1064,iipr,positive,1
1065,imac,neutral,2
1066,imh,neutral,1
1067,imrn,positive,1
1068,imux,neutral,1
1069,inaq,neutral,3
1070,inaq,positive,4
1071,ing,positive,3
1072,ino,negative,4
1073,ino,neutral,8
1074,ino,positive,3
1075,inod,neutral,1
1076,inpx,positive,1
1077,ins,neutral,1
1078,ins,positive,1
1079,insg,neutral,1
1080,insp,positive,1
1081,intc,negative,13
1082,intc,neutral,23
1083,intc,positive,25
1084,ip,negative,1
1085,ip,positive,1
1086,ipdn,neutral,1
1087,ipo,negative,10
1088,ipo,neutral,41
1089,ipo,positive,28
1090,ipob,negative,2
1091,ipob,neutral,7
1092,ipob,positive,3
1093,ipoc,neutral,2
1094,ipoc,positive,3
1095,ipod,neutral,1
1096,ipod,positive,2
1097,ipos,negative,2
1098,ipos,neutral,4
1099,ipos,positive,9
1100,iq,neutral,2
1101,ir,neutral,1
1102,irl,neutral,2
1103,irm,negative,3
1104,irm,neutral,6
1105,irm,positive,12
1106,irs,negative,2
1107,irs,positive,3
1108,isig,neutral,1
1109,isig,positive,1
1110,ita,neutral,2
1111,iti,negative,1
1112,iti,positive,1
1113,itrm,neutral,2
1114,ivr,neutral,5
1115,ivr,positive,7
1116,ivv,positive,1
1117,iwf,positive,1
1118,iwm,negative,3
1119,iwm,neutral,2
1120,iwm,positive,5
1121,iwn,positive,3
1122,izea,negative,5
1123,izea,neutral,12
1124,izea,positive,7
1125,jack,negative,4
1126,jack,neutral,3
1127,jack,positive,7
1128,jagx,negative,1
1129,jagx,neutral,4
1130,jagx,positive,5
1131,jakk,neutral,1
1132,jamf,neutral,1
1133,jamf,positive,3
1134,jbht,neutral,1
1135,jblu,neutral,4
1136,jblu,positive,3
1137,jd,neutral,25
1138,jd,positive,9
1139,jdd,neutral,1
1140,je,negative,3
1141,je,neutral,2
1142,je,positive,5
1143,jepi,negative,2
1144,jepi,neutral,6
1145,jepi,positive,3
1146,jets,negative,1
1147,jets,neutral,2
1148,jets,positive,4
1149,jfin,positive,3
1150,jfu,neutral,8
1151,jill,neutral,1
1152,jks,negative,8
1153,jks,neutral,21
1154,jks,positive,17
1155,jmia,negative,4
1156,jmia,neutral,11
1157,jmia,positive,6
1158,jnj,negative,2
1159,jnj,neutral,4
1160,jnj,positive,2
1161,jnug,negative,2
1162,jnug,neutral,10
1163,jobs,negative,2
1164,jobs,neutral,5
1165,jobs,positive,6
1166,joe,negative,1
1167,joe,positive,9
1168,jp,neutral,3
1169,jp,positive,1
1170,jpm,negative,1
1171,jpm,neutral,11
1172,jpm,positive,15
1173,jwn,negative,1
1174,jwn,neutral,4
1175,jwn,positive,6
1176,jws,neutral,1
1177,kb,positive,9
1178,kc,positive,1
1179,kelyb,negative,1
1180,kelyb,neutral,1
1181,kern,neutral,3
1182,kern,positive,1
1183,keys,neutral,2
1184,keys,positive,1
1185,kids,negative,1
1186,kids,positive,1
1187,kim,neutral,3
1188,kim,positive,3
1189,kirk,neutral,9
1190,kirk,positive,1
1191,kmb,negative,3
1192,kndi,neutral,7
1193,ko,negative,9
1194,ko,neutral,19
1195,ko,positive,28
1196,kod,neutral,2
1197,kod,positive,2
1198,kodk,neutral,14
1199,kodk,positive,6
1200,koin,neutral,1
1201,kop,neutral,1
1202,kos,neutral,1
1203,kos,positive,1
1204,kr,neutral,2
1205,kr,positive,3
1206,ktov,neutral,1
1207,ktov,positive,1
1208,kw,neutral,2
1209,kxin,negative,2
1210,kxin,neutral,9
1211,kxin,positive,2
1212,kzia,negative,1
1213,kzia,neutral,1
1214,labd,neutral,2
1215,labu,neutral,5
1216,lac,neutral,1
1217,lac,positive,1
1218,laix,neutral,1
1219,lake,negative,1
1220,lake,neutral,1
1221,land,negative,1
1222,land,neutral,4
1223,land,positive,6
1224,laws,neutral,3
1225,laws,positive,3
1226,lazr,neutral,4
1227,lazr,positive,1
1228,lca,negative,1
1229,lca,neutral,11
1230,lca,positive,5
1231,ldos,positive,2
1232,lead,neutral,2
1233,lead,positive,3
1234,lee,neutral,1
1235,lend,neutral,1
1236,levi,negative,2
1237,levi,neutral,1
1238,lgvw,neutral,4
1239,lgvw,positive,2
1240,li,neutral,6
1241,li,positive,2
1242,lin,neutral,1
1243,lit,negative,3
1244,lit,neutral,4
1245,lit,positive,3
1246,lite,negative,5
1247,lite,neutral,11
1248,lite,positive,10
1249,livx,neutral,1
1250,lizi,neutral,4
1251,lkq,neutral,2
1252,llnw,neutral,4
1253,llnw,positive,6
1254,lly,neutral,4
1255,lly,positive,4
1256,lmfa,positive,1
1257,lmnd,negative,3
1258,lmnd,neutral,10
1259,lmnd,positive,1
1260,lmnl,negative,2
1261,lmnl,neutral,14
1262,lmnl,positive,4
1263,lmt,negative,1
1264,lmt,neutral,5
1265,lmt,positive,2
1266,loan,negative,1
1267,loan,neutral,3
1268,loan,positive,11
1269,lob,positive,1
